ID,Age,Gender,Attended_Performance,Played_Instrument,Instruments_Played_Text,Duration,Frequency,output_with_sound_A_1_1_YesNo,output_with_sound_A_1_1_Rating,output_with_sound_A_1_1_Count,output_with_sound_A_1_2_YesNo,output_with_sound_A_1_2_Rating,output_with_sound_A_1_2_Count,output_with_sound_A_1_3_YesNo,output_with_sound_A_1_3_Rating,output_with_sound_A_1_3_Count,output_with_sound_A_1_4_YesNo,output_with_sound_A_1_4_Rating,output_with_sound_A_1_4_Count,output_with_sound_B_1_1_YesNo,output_with_sound_B_1_1_Rating,output_with_sound_B_1_1_Count,output_with_sound_B_1_2_YesNo,output_with_sound_B_1_2_Rating,output_with_sound_B_1_2_Count,output_with_sound_B_1_3_YesNo,output_with_sound_B_1_3_Rating,output_with_sound_B_1_3_Count,output_with_sound_B_1_4_YesNo,output_with_sound_B_1_4_Rating,output_with_sound_B_1_4_Count
1764449971347,20-29,Female,Yes,Yes,Mandolin,1-10yr,0,yes,5,1,no,1,0,no,2,0,yes,5,1,yes,5,2,yes,2,1,yes,5,2,yes,6,1
1764467331636,20-29,Male,Yes,Yes,"piano, flute,",1-10yr,1-4,yes,5,1,no,3,0,no,2,0,no,2,0,yes,5,1,no,3,0,yes,4,1,no,2,0
1764453891989,30-39,Male,No,No,,None,None,yes,5,1,yes,4,1,no,4,0,no,5,0,yes,5,1,no,5,0,yes,5,2,no,5,0
1764448981808,20-29,Male,Yes,No,,None,None,yes,1,1,yes,1,1,no,1,0,no,1,0,yes,1,1,no,1,0,yes,1,1,no,1,0
1764452745884,20-29,Male,Yes,Yes,guitar,1-10yr,0,yes,5,1,no,2,0,no,1,0,yes,5,1,yes,3,1,no,2,0,yes,1,1,no,1,0
1764453025222,30-39,Male,Yes,No,,None,None,yes,1,1,no,1,0,no,1,0,yes,1,1,yes,1,1,no,1,0,yes,1,1,no,1,0
1764455187190,40-49,Male,Yes,No,,None,None,yes,5,1,yes,5,1,no,2,0,yes,5,1,yes,5,2,no,2,0,yes,5,2,yes,6,2
1764449672661,40-49,Male,Yes,No,,None,None,yes,2,1,yes,3,1,yes,3,1,yes,3,1,yes,3,1,no,2,0,yes,2,1,no,2,0
1764466886148,30-39,Female,Yes,Yes,guitar,<1yr,0,no,4,0,no,4,0,yes,5,1,no,4,0,yes,4,1,no,4,0,no,4,0,no,4,0
1764471883287,40-49,Male,Yes,Yes,guitar,1-10yr,1-4,yes,5,2,yes,5,1,no,3,0,no,3,0,yes,4,1,no,4,0,yes,6,1,yes,5,2
